"VESSEL","HAUL","STATION","LAT_DD","LON_DD","MAT_SEX","COUNT"
"Vesteraalen",1,"U8",56.610105,-160.846817,"Mature female",1
"Vesteraalen",2,"U7",56.775968,-160.834822,"Immature male",2
"Vesteraalen",2,"U7",56.775968,-160.834822,"Mature female",3
"Vesteraalen",2,"U7",56.775968,-160.834822,"Sublegal male",2
"Vesteraalen",4,"U5",57.1076,-160.810499,"Mature female",2
"Vesteraalen",5,"U4",57.273372,-160.798169,"Immature male",1
"Vesteraalen",5,"U4",57.273372,-160.798169,"Mature female",1
"Vesteraalen",5,"U4",57.273372,-160.798169,"Sublegal male",1
"Vesteraalen",6,"U3",57.439115,-160.785724,"Legal male",1
"Vesteraalen",6,"U3",57.439115,-160.785724,"Mature female",1
"Vesteraalen",6,"U3",57.439115,-160.785724,"Mature male",1
"Vesteraalen",7,"U2",57.60483,-160.773163,"Mature female",1
"Vesteraalen",8,"V2",57.593853,-160.307739,"Immature female",1
"Vesteraalen",9,"V3",57.428187,-160.322461,"Immature male",1
"Vesteraalen",9,"V3",57.428187,-160.322461,"Legal male",1
"Vesteraalen",9,"V3",57.428187,-160.322461,"Mature male",1
"Vesteraalen",9,"V3",57.428187,-160.322461,"Sublegal male",1
"Vesteraalen",11,"V5",57.096769,-160.351497,"Legal male",1
"Vesteraalen",11,"V5",57.096769,-160.351497,"Mature female",6
"Vesteraalen",11,"V5",57.096769,-160.351497,"Mature male",1
"Vesteraalen",12,"V6",56.931016,-160.365815,"Immature male",2
"Vesteraalen",12,"V6",56.931016,-160.365815,"Mature female",2
"Vesteraalen",12,"V6",56.931016,-160.365815,"Sublegal male",2
"Vesteraalen",13,"V7",56.765232,-160.380003,"Immature male",1
"Vesteraalen",13,"V7",56.765232,-160.380003,"Legal male",2
"Vesteraalen",13,"V7",56.765232,-160.380003,"Mature female",2
"Vesteraalen",13,"V7",56.765232,-160.380003,"Mature male",2
"Vesteraalen",13,"V7",56.765232,-160.380003,"Sublegal male",1
"Vesteraalen",14,"V8",56.599416,-160.394061,"Mature female",2
"Vesteraalen",17,"W6",56.918523,-159.909208,"Legal male",1
"Vesteraalen",17,"W6",56.918523,-159.909208,"Mature female",1
"Vesteraalen",17,"W6",56.918523,-159.909208,"Mature male",1
"Vesteraalen",18,"W5",57.084221,-159.892792,"Legal male",1
"Vesteraalen",18,"W5",57.084221,-159.892792,"Mature male",1
"Vesteraalen",20,"W3",57.415526,-159.859503,"Immature female",3
"Vesteraalen",20,"W3",57.415526,-159.859503,"Immature male",2
"Vesteraalen",20,"W3",57.415526,-159.859503,"Sublegal male",2
"Vesteraalen",24,"U1",57.77052,-160.760484,"Immature female",1
"Vesteraalen",25,"T1",57.779796,-161.228357,"Mature female",1
"Vesteraalen",26,"T2",57.614065,-161.238852,"Immature female",1
"Vesteraalen",26,"T2",57.614065,-161.238852,"Immature male",1
"Vesteraalen",26,"T2",57.614065,-161.238852,"Legal male",2
"Vesteraalen",26,"T2",57.614065,-161.238852,"Mature female",1
"Vesteraalen",26,"T2",57.614065,-161.238852,"Mature male",2
"Vesteraalen",26,"T2",57.614065,-161.238852,"Sublegal male",1
"Vesteraalen",27,"U9",56.444209,-160.858704,"Immature female",1
"Vesteraalen",27,"U9",56.444209,-160.858704,"Immature male",1
"Vesteraalen",27,"U9",56.444209,-160.858704,"Legal male",1
"Vesteraalen",27,"U9",56.444209,-160.858704,"Mature female",2
"Vesteraalen",27,"U9",56.444209,-160.858704,"Mature male",1
"Vesteraalen",27,"U9",56.444209,-160.858704,"Sublegal male",1
"Vesteraalen",29,"U10",56.278279,-160.870484,"Immature male",1
"Vesteraalen",29,"U10",56.278279,-160.870484,"Sublegal male",1
"Vesteraalen",33,"T9",56.453162,-161.309656,"Immature male",1
"Vesteraalen",33,"T9",56.453162,-161.309656,"Legal male",5
"Vesteraalen",33,"T9",56.453162,-161.309656,"Mature female",3
"Vesteraalen",33,"T9",56.453162,-161.309656,"Mature male",5
"Vesteraalen",33,"T9",56.453162,-161.309656,"Sublegal male",1
"Vesteraalen",34,"T8",56.619097,-161.299817,"Immature male",1
"Vesteraalen",34,"T8",56.619097,-161.299817,"Mature female",2
"Vesteraalen",34,"T8",56.619097,-161.299817,"Sublegal male",1
"Vesteraalen",35,"T7",56.784999,-161.289889,"Mature female",4
"Vesteraalen",37,"T5",57.116712,-161.269757,"Immature male",1
"Vesteraalen",37,"T5",57.116712,-161.269757,"Mature female",1
"Vesteraalen",37,"T5",57.116712,-161.269757,"Sublegal male",1
"Vesteraalen",38,"T4",57.282524,-161.259551,"Immature male",3
"Vesteraalen",38,"T4",57.282524,-161.259551,"Legal male",5
"Vesteraalen",38,"T4",57.282524,-161.259551,"Mature female",4
"Vesteraalen",38,"T4",57.282524,-161.259551,"Mature male",5
"Vesteraalen",38,"T4",57.282524,-161.259551,"Sublegal male",3
"Vesteraalen",39,"T3",57.448308,-161.24925,"Immature female",11
"Vesteraalen",39,"T3",57.448308,-161.24925,"Immature male",59
"Vesteraalen",39,"T3",57.448308,-161.24925,"Legal male",9
